Attractor_Size,Frequency_Count,Estimated_Probability,AttractorStates_Decimal
1,125470,0.12547,"2058"
4,125315,0.125315,"10,11,26,27"
1,125083,0.125083,"13"
1,124989,0.124989,"15"
1,124884,0.124884,"2056"
4,124814,0.124814,"8,9,24,25"
4,62624,0.062624,"2060,2061,2076,2077"
2,62382,0.062382,"2059,2074"
1,62382,0.062382,"2075"
1,62304,0.062304,"2063"
4,62270,0.06227,"2062,2063,2078,2079"
1,62247,0.062247,"2061"
2,62079,0.062079,"2057,2072"
1,62079,0.062079,"2073"
2,31019,0.031019,"272,2719"
2,31000,0.031,"274,2781"
1,1965,0.001965,"1976"
1,1019,0.001019,"1978"
1,959,0.000959,"2042"
1,523,0.000523,"4029"
1,245,0.000245,"4095"
1,244,0.000244,"4031"
