Priming_Target,Inhibition_Duration,Success_Rate,Do Nothing,Flip Gene 'AXL',Flip Gene 'JUN',Flip Gene 'LOXL2',Flip Gene 'MAP2K3',Flip Gene 'MAPK3',Flip Gene 'NFATC1',Flip Gene 'NRAS',Flip Gene 'PIK3CB',Flip Gene 'RELA',Flip Gene 'ROR2',Flip Gene 'TAGLN',Flip Gene 'WNT5A'
JUN,1,88.12,54094,0,0,0,0,0,0,0,0,130,0,0,0
JUN,2,90.48,47169,0,0,0,0,0,0,0,0,0,0,0,0
JUN,3,86.36,57408,0,0,0,0,0,0,0,0,0,0,0,0
JUN,4,85.77,61085,0,0,0,0,0,0,0,0,0,0,0,0
JUN,5,85.30,61727,0,0,0,0,0,0,0,0,50,0,0,0
RELA,1,85.87,60199,0,0,0,0,0,0,0,0,381,0,0,0
RELA,2,80.00,75669,0,0,0,0,0,0,0,0,182,0,0,0
RELA,3,80.52,74645,0,0,0,0,0,0,0,0,70,0,0,0
RELA,4,80.45,74833,0,0,0,0,0,0,0,0,10,0,0,0
RELA,5,81.07,74137,0,0,0,0,0,0,0,0,9,0,0,0
