"regulatory.gene","target.gene","weight"
"JUN","EGFR",0.245080388822575
"EML4","MAPK3",0.22510030722777
"NFATC1","NFKB1",0.193323159157987
"RELA","ZAP70",0.191982853556933
"NFKB1","PIK3CB",0.185231551731846
"ALK","MAPK3",0.182341716719305
"ZAP70","JUN",0.172349046381954
"MAPK3","RPS6KB2",0.169720462493147
"EGFR","JUN",0.166114457620059
"EGFR","ALK",0.164752746303198
"RPS6KB2","NFATC1",0.164748269635008
"ALK","ZAP70",0.163134042285749
"NFATC1","ALK",0.157035672463758
"JUN","RELA",0.156129851120012
"MAPK3","RELA",0.152927736350365
"ZAP70","NFATC1",0.151673493896449
"JUN","BATF3",0.150332622077381
"JUN","EML4",0.148802102785424
"EML4","ALK",0.141176560932533
"EGFR","PIK3CB",0.141065158305949
"NFATC1","BATF3",0.131395027159559
"MAPK3","BATF3",0.131331110606094
"BATF3","EGFR",0.123553224135287
"EGFR","BATF3",0.119846501168908
"BATF3","NFATC1",0.118483491491819
"BATF3","RPS6KB2",0.118275244818845
"EML4","NFKB1",0.118004705222429
"PIK3CB","EML4",0.116217233962423
"RPS6KB2","EML4",0.114129503606837
"ALK","RPS6KB2",0.113485536210411
"ALK","RELA",0.108770986105815
"NFATC1","RPS6KB2",0.107579986107477
"BATF3","RELA",0.106788740912243
"NFKB1","ZAP70",0.10513315899068
"NFKB1","EML4",0.104084363145582
"PIK3CB","NFKB1",0.103712899064794
"ZAP70","RELA",0.101943873586745
"ZAP70","RPS6KB2",0.100709066883827
"EML4","RELA",0.0995835001681386
"MAPK3","JUN",0.097503711050639
"RELA","EML4",0.0965704957149185
"RPS6KB2","NFKB1",0.0945761553124482
"JUN","NFATC1",0.0939894758195702
"JUN","PIK3CB",0.0923555870379618
"ZAP70","ALK",0.0920581184453032
"MAPK3","EML4",0.0900942353975953
"MAPK3","PIK3CB",0.0900215704747323
"NFKB1","RPS6KB2",0.089920821967537
"RPS6KB2","ZAP70",0.0888233785429055
"JUN","NFKB1",0.0880753039368214
"ZAP70","MAPK3",0.0875671456137227
"RELA","EGFR",0.0869764166565671
"ALK","EML4",0.0868691974727563
"NFATC1","JUN",0.086838492754741
"ALK","NFATC1",0.0864644527868936
"ZAP70","PIK3CB",0.0862606568804804
"JUN","ZAP70",0.0850674725515942
"ZAP70","BATF3",0.0844724999248581
"NFATC1","ZAP70",0.083946916155842
"PIK3CB","BATF3",0.0838535488666846
"RPS6KB2","ALK",0.0830690001363614
"BATF3","JUN",0.0824323137418275
"ZAP70","NFKB1",0.0804279660822703
"RELA","NFATC1",0.0796295340396138
"JUN","RPS6KB2",0.0793844627681834
"RPS6KB2","EGFR",0.0793305542300426
"RELA","PIK3CB",0.0790914393751189
"EML4","JUN",0.0786766847183022
"EGFR","EML4",0.0777579392889592
"EML4","PIK3CB",0.0773127965232411
"PIK3CB","NFATC1",0.0771487613327897
"NFATC1","EGFR",0.0764711379576369
"BATF3","MAPK3",0.0759689304036854
"PIK3CB","MAPK3",0.0756662836689214
"RPS6KB2","JUN",0.0752024826440027
"ALK","EGFR",0.0739860871149366
"EGFR","NFKB1",0.0734198315240998
"EML4","EGFR",0.072912525125157
"RPS6KB2","BATF3",0.0726374046509562
"PIK3CB","EGFR",0.0689320280105371
"RELA","NFKB1",0.068375691904938
"EGFR","NFATC1",0.0683266251824796
"RELA","ALK",0.0682069052892283
"JUN","MAPK3",0.0674727575682934
"EGFR","MAPK3",0.0671586690422578
"EML4","ZAP70",0.0670936943166996
"ALK","PIK3CB",0.066794273088601
"MAPK3","NFKB1",0.0660782148184313
"RPS6KB2","PIK3CB",0.0655460613275321
"RELA","JUN",0.0652364289993381
"NFATC1","EML4",0.0648945553628373
"PIK3CB","ALK",0.0641498107207085
"JUN","ALK",0.0632026535387043
"NFKB1","RELA",0.0627879113131121
"ALK","JUN",0.0625284830328972
"BATF3","ALK",0.0619372595402323
"NFKB1","NFATC1",0.0619195845114926
"NFKB1","ALK",0.0610589747287388
"ALK","BATF3",0.0608505422310484
"EGFR","RPS6KB2",0.0604983542382403
"RELA","BATF3",0.0604833538898838
"PIK3CB","RPS6KB2",0.0601316521170073
"NFKB1","EGFR",0.0600916133177334
"BATF3","ZAP70",0.0599301219626679
"MAPK3","EGFR",0.059522042611378
"NFKB1","JUN",0.0594353892691942
"PIK3CB","RELA",0.0592308890736728
"NFATC1","MAPK3",0.0591689477047736
"NFKB1","MAPK3",0.0588886990591129
"ALK","NFKB1",0.0588422306295658
"NFATC1","PIK3CB",0.0581821922737532
"BATF3","PIK3CB",0.0581387129807843
"MAPK3","ZAP70",0.0575736173926292
"NFKB1","BATF3",0.0570626153128311
"RPS6KB2","MAPK3",0.0564150595774386
"EGFR","RELA",0.0563039951002068
"MAPK3","NFATC1",0.0558913446745746
"BATF3","NFKB1",0.0551638423462151
"EGFR","ZAP70",0.0540182236862996
"PIK3CB","JUN",0.0536825097870452
"ZAP70","EML4",0.05336503480729
"ZAP70","EGFR",0.053143982018149
"NFATC1","RELA",0.0519485942161304
"EML4","RPS6KB2",0.0514981900271586
"RELA","RPS6KB2",0.0487962223681662
"EML4","BATF3",0.0477347741117961
"BATF3","EML4",0.0472153384553778
"RELA","MAPK3",0.0442514834147193
"RPS6KB2","RELA",0.0435839220535591
"MAPK3","ALK",0.0433522979012347
"PIK3CB","ZAP70",0.0432965205579997
"EML4","NFATC1",0.0417249666293093
